
Name                                                                                              Count
----                                                                                              -----
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\StoragePage.tsx                               192
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\StoriesWidgetPage.tsx                         164
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\AppearancePage.tsx                            109
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\VideoGalleryPage.tsx                          108
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\live\LiveFormDialog.tsx                  106
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\LiveCommercePage.tsx                          102
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\VideoEditPage.tsx                              99
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\live\LiveAppearanceModal.tsx              90
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\StoryDetailsPage.tsx                           77
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\StoryPreviewPage.tsx                           77
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\db.ts                                            69
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\performance\retention-tab.tsx             66
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\LiveAdminPage.tsx                              46
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\VideoPerformancePage.tsx                       46
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\LandingPage.tsx                                46
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\analytics.ts                                     45
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\WidgetPreview.tsx                         42
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\CommentsPage.tsx                               36
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\performance\videos-tab.tsx                36
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\proxy-preview\index.ts                35
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\live\LiveAppearanceTab.tsx                35
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\services\metrics-service.ts                          34
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\live\LiveMetricsModal.tsx                 34
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\videoEmbeds.ts                                   33
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\IntegrationPage.tsx                            33
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\BillingPage.tsx                                33
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\import-pinterest-video\index.ts       32
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\VideoThumbnail.tsx                        32
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\import-tiktok-video\index.ts          31
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\DashboardPage.tsx                              29
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\SettingsPage.tsx                               26
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\video.ts                                         25
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\live\ShareLiveModal.tsx                   24
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\ProductsPage.tsx                               21
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\plans.ts                                         20
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\videoMetrics.ts                                  20
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\HelpArticlesPage.tsx                           18
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\services\youtube.ts                                  18
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\MasterAdminPage.tsx                            17
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\hooks\useLiveChat.ts                                 16
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\fetch-thumbnail\index.ts              15
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\import-instagram-video\index.ts       14
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\App.tsx                                              14
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\auth.ts                                          14
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\StoriesPage.tsx                                12
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\PlansPage.tsx                                  12
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\likesService.ts                                  12
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\performance\overview-tab.tsx              11
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\SupportPage.tsx                                10
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\performance\insights-tab.tsx               9
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\storyAppearanceHelpers.ts                         9
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\track-event\index.ts                   8
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\universal-conversion\index.ts          8
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\instagram-auth\index.ts                8
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\embed\[token].ts                                8
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\AppLayout.tsx                              7
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\send-email\index.ts                    6
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\fetch-youtube-live\index.ts            6
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\AppSidebar.tsx                             6
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\IndicaGanhaPage.tsx                             6
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\PerformancePage.tsx                             6
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\types\performance.ts                              5
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\services\instagram.ts                                 5
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\hooks\useLiveSpotlight.ts                             4
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\lib\activityLog.ts                                    4
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\services\integrations.ts                              4
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\create-asaas-subscription\index.ts     3
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\get-tiktok-media\index.ts              3
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\tiktok-oauth-callback\index.ts         2
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ui\alert.tsx                               2
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ui\chart.tsx                               2
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\MasterLoginPage.tsx                             2
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\CustomDialog.tsx                           1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ConfirmDeleteDialog.tsx                    1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ui\card.tsx                                1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\services\tiktok.ts                                    1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\SuccessDialog.tsx                          1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ui\dialog.tsx                              1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ui\drawer.tsx                              1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ui\label.tsx                               1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\ui\LayoutIcons.tsx                         1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\components\WhatsAppFloatingButton.tsx                 1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\context\TenantContext.tsx                             1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\src\pages\LoginPage.tsx                                   1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\asaas-webhook\index.ts                 1
F:\RODRIGO VICENTE\DYAD\vidlytics\vidlytics\supabase\functions\widget-selector\index.ts               1

